name,Rating,votes,location,cuisines,approx_cost(for two people)
XO Belgian Waffle,3.7,17,Banashankari,"Desserts, Beverages",400
Peppy Peppers,4.2,244,Banashankari,"Italian, North Indian, Mexican",800
Goa 0 Km,3.6,163,Kumaraswamy Layout,"Goan, Seafood, North Indian, Chinese, Biryani",800
Chinese Kitchen,3.8,58,Basavanagudi,Chinese,150
1947,4.0,808,Banashankari,"North Indian, Chinese",850
Cake of the Day,3.7,78,Banashankari,Bakery,150
Kabab Magic,4.1,1720,Basavanagudi,"North Indian, Kebab, Chinese, Fast Food",400
Namma Brahmin's Idli,3.6,34,Jayanagar,South Indian,100
Gustoes Beer House,4.1,868,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200
Sugar Rush,3.8,39,Banashankari,"Bakery, Desserts",300
Burger King,3.2,71,Basavanagudi,"Burger, Fast Food, Beverages",600
The Good Bowl,3.6,6,Banashankari,"Italian, North Indian, Biryani",500
The Biryani Cafe,4.1,520,Banashankari,"Biryani, Chinese, Kebab",300
LSD Cafe,2.9,84,Banashankari,"Chinese, Continental, Italian, North Indian",700
Rolls On Wheels,3.6,299,Banashankari,"Fast Food, Rolls, Momos",300
Sri Guru Kottureshwara Davangere Benne Dosa,4.1,558,Basavanagudi,South Indian,150
Devanna Dum Biriyani Centre,3.6,28,Banashankari,"Biryani, South Indian",300
Kolbeh,3.7,22,Banashankari,Fast Food,500
Upahar Sagar,3.8,39,Banashankari,"South Indian, Chinese, North Indian",350
Kadalu Sea Food Restaurant,3.8,153,Vijay Nagar,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500
Frozen Bottle,4.2,146,Banashankari,"Beverages, Desserts, Ice Cream",400
Parimala Sweets,3.5,14,Banashankari,"Mithai, Street Food",200
Vaishali Deluxe,3.8,42,Banashankari,"North Indian, Chinese",700
The Big O Bakes,4.0,66,Banashankari,"Bakery, Desserts",300
Meghana Foods,4.4,4401,Jayanagar,"Biryani, North Indian, Chinese",600
Krishna Sagar,3.5,31,Banashankari,North Indian,200
Dessert Rose,3.5,7,Banashankari,Desserts,500
Chickpet Donne Biryani House,3.7,21,Banashankari,Biryani,250
Thanco's Natural Ice Creams,3.2,9,Banashankari,Ice Cream,300
Nandhini Deluxe,2.6,283,Banashankari,North Indian,600
Vi Ra's Bar and Restaurant,3.3,62,Banashankari,"South Indian, North Indian, Chinese",800
Kaggis,3.8,64,Banashankari,"Fast Food, Bakery",250
Ayda Persian Kitchen,3.7,39,Banashankari,"North Indian, Iranian",950
Chatar Patar,3.7,65,Banashankari,"Fast Food, Street Food",300
Polar Bear,3.8,71,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",400
Kidambi's Kitchen,3.5,52,Banashankari,South Indian,300
Mane Thindi,3.7,130,Banashankari,South Indian,200
Kotian Karavali Restaurant,3.5,10,Banashankari,"South Indian, Biryani",300
Floured-Baked With Love,3.8,45,Banashankari,Bakery,400
Cakes & Slices,3.5,13,Banashankari,"Bakery, Desserts",300
Spice 9,3.4,8,Banashankari,"Biryani, North Indian, Chinese, Fast Food",300
Naveen Kabab & Biriyani Mane,3.2,9,Banashankari,Biryani,300
Katriguppe Donne Biryani,3.2,4,Banashankari,North Indian,300
Atithi Point Ande Ka Funda,3.1,29,Banashankari,North Indian,150
Just Bake,3.4,8,Banashankari,"Bakery, Desserts",400
K27 - The Pub,3.1,30,Banashankari,"Chinese, North Indian",1000
Bengaluru Coffee House,4.1,201,Banashankari,"South Indian, North Indian, Chinese, Street Food",300
New Mangalore Lunch Home,3.3,7,Banashankari,"Mangalorean, South Indian, North Indian",200
Coffee Bytes,3.1,6,Banashankari,"Fast Food, South Indian",100
Parjanya Chat Zone,3.3,17,Banashankari,"Street Food, Fast Food",200
Kwality Wall's Swirl's Happiness Station,2.9,25,Banashankari,"Ice Cream, Desserts",200
Ruchi Maayaka,3.3,8,Banashankari,South Indian,100
Anna Kuteera,4.0,771,Banashankari,"South Indian, North Indian, Chinese",450
Darbar,3.0,98,Banashankari,"North Indian, Chinese",800
Vijayalakshmi,3.9,47,Basavanagudi,South Indian,200
Sri Udupi Food Hub,4.1,175,Jayanagar,"South Indian, North Indian, Chinese, Beverages",500
Udupi Upahar,3.8,58,Banashankari,"South Indian, Chinese, North Indian, Juices",300
House Of Kebabs,3.8,540,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",650
Roll N Rock,3.8,124,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",400
BOX8- Desi Meals,4.1,340,Banashankari,"North Indian, Mughlai, Fast Food",500
KFC,3.8,505,Banashankari,"Burger, Fast Food",450
Roll Over,4.1,438,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500
Imperial Restaurant,3.7,264,Mysore Road,"North Indian, Chinese, Biryani, Beverages",750
Lassi Shop,3.9,169,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",150
The Fortuna,3.0,67,Kumaraswamy Layout,"North Indian, Chinese",250
Wahab,3.7,97,Jayanagar,"North Indian, Mughlai, Chinese",350
Al Diwan Biryanis And More,3.3,12,Basavanagudi,Biryani,300
New Gowda's Fried Chicken,3.3,12,Banashankari,Biryani,300
Canton,3.6,195,Jayanagar,"Chinese, Seafood, Biryani",800
Diabetics Dezire Sugarless Sweets and Bakes,3.3,13,Basavanagudi,"Desserts, Mithai",300
The Blue Wagon - Kitchen,4.6,228,Jayanagar,"Cafe, Beverages",400
HOT COFFEE,4.1,70,Basavanagudi,"South Indian, Chinese",150
Patio 805,4.1,364,Jayanagar,"Thai, Vietnamese, Asian, Chinese",1200
Lassi Corner,3.7,107,Basavanagudi,"Beverages, Ice Cream",150
Sagar Deluxe,3.2,167,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",300
Kanti Sweets,4.0,115,Banashankari,"Mithai, Street Food",400
Vegetalia,3.7,27,Banashankari,"Italian, Pizza",400
Aramane Donne Biryani,3.5,57,Banashankari,Biryani,200
Ande Ka Funda,3.8,120,Banashankari,"North Indian, Fast Food, Rolls",250
Cake Ghar,3.8,15,Basavanagudi,Bakery,400
Energy Addaa,4.2,64,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500
Bhattara Bhojana,3.6,66,Banashankari,South Indian,150
Tandoori Knight,3.0,290,Banashankari,"North Indian, Chinese, Biryani, Kebab",450
Dev Sagar - Food Street,4.1,233,Basavanagudi,Street Food,200
Mitraa Da Pizza,3.8,115,Kumaraswamy Layout,"Fast Food, Pizza",250
Paradise Premium,3.1,119,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",700
Grazers,3.9,291,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",650
Shakes Theory,4.5,155,Jayanagar,"Beverages, Sandwich",300
@Italy,4.1,305,Kumaraswamy Layout,Italian,700
Chilli Flakes,3.6,46,Banashankari,"Fast Food, Italian, Beverages",500
Calcutta Cafe,3.5,45,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",350
Old Mumbai Ice Cream,3.9,38,Banashankari,Ice Cream,150
Donne Biriyani House,3.9,441,Banashankari,"South Indian, North Indian, Chinese, Biryani",400
By 2 Coffee,3.9,25,Basavanagudi,South Indian,100
Kedia's Fun Food,4.3,630,Jayanagar,"North Indian, Street Food, Juices",200
Davangere Butter Dosa Hotel,3.8,25,Kumaraswamy Layout,South Indian,150
Just Shawarma,3.9,160,Kumaraswamy Layout,Arabian,300
Mini Punjabi Dhaba,4.2,287,Banashankari,North Indian,350
Mulabagilu Dosa,3.6,11,Basavanagudi,South Indian,100
Gokul Veg,3.8,469,Basavanagudi,"North Indian, Chinese, Beverages",750
Olive - Era,3.3,511,Kumaraswamy Layout,"Bbq, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550
Udupi Ruchi,3.9,57,Banashankari,"South Indian, North Indian, Chinese, Street Food",200
Madhappa Hindu Military Hotel,3.4,14,Banashankari,South Indian,300
Gama Gama,3.9,264,Banashankari,South Indian,200
Pizza Hut,3.8,693,Banashankari,"Pizza, Fast Food",750
Mangalore Pearl,3.8,242,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",650
Asha Sweets Centre,3.6,27,Basavanagudi,Fast Food,250
Twiststick House,4.1,163,Basavanagudi,"Continental, Fast Food, Street Food, Momos",500
Cool Corner,4.2,191,Basavanagudi,"Street Food, Fast Food",250
Pizza Mane,3.5,32,Banashankari,"Pizza, Sandwich, Burger, Fast Food",150
Dal Tadkaa,2.5,247,Banashankari,North Indian,500
Chutney Chang,4.1,2339,Jayanagar,"North Indian, Chinese, Bbq",1500
Mystique Palate,4.1,337,Jayanagar,"Chinese, Fast Food",300
Thamboola,3.9,135,Banashankari,"North Indian, Chinese, Continental",800
Castle Rock,3.6,172,Uttarahalli,"North Indian, Chinese",700
Vietnamese Kitchen,3.6,105,Banashankari,Vietnamese,700
C Corner,3.2,36,Kumaraswamy Layout,"Fast Food, Street Food",200
Paratha Merchant,3.1,39,Kumaraswamy Layout,North Indian,300
North Rasoe,3.1,5,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",500
Toscano,4.3,1129,Jayanagar,"Italian, Salad",1300
Lord Of The Kitchen,3.9,56,Kumaraswamy Layout,"North Indian, Chinese",350
Stoned Monkey,4.3,860,Banashankari,"Desserts, Ice Cream",500
Central Jail Restaurant,3.8,412,Jayanagar,"Andhra, Seafood, North Indian, Chinese",700
Bella,3.9,142,Jayanagar,"Mangalorean, Seafood, South Indian",1000
Vennela Andhra Meals,3.0,23,Jayanagar,Andhra,400
New Prashanth Hotel,3.6,143,Jayanagar,"South Indian, Biryani, Chinese, North Indian",750
The Grillo,2.8,80,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500
Re Malnad Nati Style Hotel,3.6,16,Jp Nagar,South Indian,400
Karma Kaapi,4.4,181,Jayanagar,"Beverages, Tea",250
Tiwari's,3.8,70,Jayanagar,"North Indian, Street Food",200
Pizza Stop,3.8,164,Basavanagudi,"Pizza, Italian",600
Biggies Burger 'n' More,3.6,58,Kumaraswamy Layout,"Cafe, Burger, Beverages",650
Kollapuri's,3.9,206,Basavanagudi,"South Indian, Mangalorean",450
Kadamba Classic,3.6,16,Mysore Road,South Indian,300
RS Shiv Sagar,3.7,217,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",450
Kholi Mane,3.6,46,Basavanagudi,"Andhra, South Indian, Biryani, North Indian",450
Harshi Super Sandwich,3.8,148,Basavanagudi,"Fast Food, Street Food",150
Cake Yard,3.4,30,Basavanagudi,Desserts,250
Sri Udupi Veg,3.3,4,Jayanagar,South Indian,250
Cake Art,3.5,15,Basavanagudi,Bakery,400
Potato House,3.4,9,Uttarahalli,Street Food,200
Matru Sagar,3.7,31,Mysore Road,"South Indian, North Indian",300
Ugadi,2.9,177,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700
Sri Krishna Sweets,3.7,22,Basavanagudi,"Mithai, Desserts",250
In Time Cane Juice,3.5,10,Kumaraswamy Layout,"Juices, Beverages",100
Subway,3.7,136,Banashankari,"Salad, Fast Food",600
Daal Roti,2.9,35,Kumaraswamy Layout,"North Indian, Chinese",250
The Lassi Park,4.1,185,Jayanagar,"Juices, Desserts",200
Cafe Coffee Day,3.2,17,Jayanagar,"Cafe, Fast Food",900
A2B - Adyar Ananda Bhavan,3.8,155,Mysore Road,"South Indian, North Indian, Chinese, Street Food",400
Srikrishna Bhavan,3.8,42,Banashankari,"South Indian, North Indian, Chinese",300
Green Gardenia,3.8,160,Banashankari,"North Indian, Chinese",700
J Spice,3.8,59,Banashankari,"North Indian, Chinese",750
Karavali Family Restaurant,3.5,90,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",500
Karavali Lunch Home,3.7,51,Kumaraswamy Layout,"South Indian, Mangalorean",350
Hatti Kaapi,4.0,89,Jayanagar,"South Indian, Beverages",200
Kolkata Kathi Roll's,3.6,18,Banashankari,"Fast Food, Rolls",250
Upahara Darshini,3.9,40,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",600
The Chaat Shop,2.5,35,Basavanagudi,Fast Food,200
Anda Ka Funda,3.4,89,Jayanagar,"North Indian, Chinese, Rolls",250
Shri Vinayaka Ice N Juice,3.2,11,Basavanagudi,"Beverages, Fast Food",150
Ibaco,3.9,33,Jayanagar,Desserts,300
Jalaram Sweets,3.8,32,Jayanagar,"Desserts, Mithai",250
Samskruti - Sanman Gardenia,4.1,139,Jayanagar,"North Indian, Chinese, South Indian",550
Bendakaluru Bytes,3.2,154,Vijay Nagar,Fast Food,300
Cocoa Bakes,3.6,14,Banashankari,"Bakery, Desserts",350
Chumma Delicious,3.7,237,Banashankari,"South Indian, Fast Food",200
New Prashanth Hotel,3.9,388,Banashankari,"Biryani, North Indian, Seafood, Andhra",650
Dwaraka Grand,3.9,128,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",500
Gufha - The President Hotel,4.1,1875,Jayanagar,"North Indian, Afghani, Mughlai",1200
Tanna's Kitchen,3.1,7,Kumaraswamy Layout,"Italian, Chinese, Street Food",250
Shree Mandarathi Grand,3.7,38,Uttarahalli,"South Indian, North Indian",400
Mojo Pizza - 2X Toppings,4.2,179,Banashankari,Pizza,600
Iceberg Icecreams,4.0,43,Basavanagudi,"Desserts, Ice Cream",250
South Kitchen,4.3,275,Basavanagudi,South Indian,100
Chung Wah,3.7,323,Jayanagar,"Chinese, Thai, Momos",850
Shanthi Sagar,3.1,28,Uttarahalli,"South Indian, North Indian, Chinese",400
Millet Mama,3.9,18,Basavanagudi,"South Indian, Healthy Food",200
Bangarpet Chat Express,3.3,6,Basavanagudi,"Street Food, Fast Food",100
Prems Graama Bhojanam,4.3,322,Jayanagar,South Indian,400
Java City,2.6,157,Jayanagar,"Cafe, American, Pizza",450
Kamat Bugle Rock,3.9,543,Basavanagudi,"South Indian, Fast Food",300
Puliyogare Point,4.2,444,Basavanagudi,South Indian,100
Bangalore Agarwal Bhavan,3.9,134,Jayanagar,"Street Food, North Indian, South Indian",400
Rustic Stove,3.8,577,Jayanagar,"North Indian, South Indian, Biryani, Beverages",900
Udupi Ruchi Grand,4.2,60,Banashankari,"South Indian, North Indian, Chinese, Street Food",200
De Thaali,3.9,144,Jayanagar,"North Indian, Chinese, Rolls",550
Just Thindi,3.6,16,Basavanagudi,South Indian,200
Matru Sagar,3.6,84,Banashankari,"South Indian, North Indian, Chinese",250
Vasanth Vihar - Since 1965,3.6,95,Banashankari,"South Indian, Street Food",150
Sea Spice by 7 Star,4.0,349,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200
Desi Dawat,3.7,248,Kumaraswamy Layout,"North Indian, Fast Food",400
Cafe Aira,4.1,216,Basavanagudi,"Cafe, Continental, Beverages, Desserts",500
Mast Punjabi,2.6,231,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",400
South Grand,3.4,102,Uttarahalli,"South Indian, North Indian, Chinese, Beverages",400
The Pizzeria,2.8,45,Banashankari,"Pizza, Italian, Salad",800
Cafe Zone,3.9,149,Kumaraswamy Layout,"Fast Food, Chinese, Rolls",300
Ruchis Point,3.8,75,Banashankari,"Fast Food, Chinese",200
Firangi Bake,4.0,53,Rajarajeshwari Nagar,"Mexican, Italian",600
The Royal Corner - Pai Viceroy,4.2,815,Jayanagar,"North Indian, Chinese",900
Hara Fine Dine,4.0,633,Banashankari,"North Indian, Chinese",800
Chocoberry,3.5,56,Jayanagar,"Ice Cream, Desserts, Beverages",400
Dakshin Grand,3.0,82,Banashankari,"South Indian, North Indian, Chinese, Street Food",300
Sandwichwallas,3.7,35,Jayanagar,Fast Food,200
Chai Mane,3.6,20,Basavanagudi,"Juices, Fast Food",150
SLV Upachar,3.1,14,Kumaraswamy Layout,"South Indian, Chinese, Street Food",250
Waffle-A-Go Go,3.9,70,Banashankari,"Fast Food, Desserts, Ice Cream",400
Cross Road Cafe,3.9,91,Jayanagar,"Cafe, Fast Food, Chinese",300
Anand Donne Biriyani,3.6,45,Jayanagar,Biryani,200
Seven Star,3.4,7,Banashankari,"North Indian, Chinese",250
Stop 'N' Joy,3.8,28,Banashankari,Fast Food,150
Sri Yaksha Shiv Sagar,3.6,24,Banashankari,"North Indian, Chinese",600
Fudge,3.8,36,Basavanagudi,"Desserts, Momos",200
Just Bunny,3.5,11,Jayanagar,Fast Food,200
Bakers Town,3.8,77,Kumaraswamy Layout,"Cafe, Continental, Fast Food",650
Shree Mahalakshmi Sweets,3.2,8,Banashankari,"Mithai, Street Food",100
Kaapi Kendra,3.7,14,Jayanagar,South Indian,100
Ivy,3.8,210,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",600
The Airos,4.1,130,Jayanagar,"Cafe, Italian, Pizza",650
Chai Kraft,4.1,30,Jayanagar,"Beverages, Tea",100
South Point Pub,3.4,11,Basavanagudi,"North Indian, Seafood, Chinese",800
The Trundle,3.7,133,Jayanagar,"Chinese, Thai, Continental, North Indian",700
The Krishna Grand Xpress,4.0,136,Jayanagar,"South Indian, Fast Food",350
Sri Krishna Darshini,3.1,4,Basavanagudi,"South Indian, North Indian, Chinese",200
Shringar Sweets & Snacks,3.5,11,Basavanagudi,"Mithai, South Indian, Street Food, Fast Food",200
Udupi Grand,3.8,74,Basavanagudi,"South Indian, North Indian, Chinese",300
Ganesh Grand,3.7,30,Basavanagudi,"South Indian, North Indian, Desserts",300
Shreyas Upahar & Burger Point,3.0,7,Basavanagudi,"South Indian, Burger",200
Little Cafe,3.7,54,Basavanagudi,"Cafe, Beverages",600
Mumbai Badam Milk & Lassi Center,3.6,23,Basavanagudi,"Beverages, Desserts",100
Sri Krishna Sagar,3.2,119,Banashankari,"North Indian, Chinese",400
Mylari Biryani Family Restaurant,3.7,73,Banashankari,"Biryani, Fast Food",400
1980s Games Cafe,3.4,58,Basavanagudi,"Cafe, Fast Food",400
Kadala Tarangaa,3.6,129,Banashankari,"Mangalorean, Seafood, North Indian",600
Namma Biryani,3.6,24,Banashankari,"Biryani, Chinese, North Indian",250
Nandhanu's Rasoi,3.0,175,Kumaraswamy Layout,"Chinese, North Indian",400
Hotel Pork Paradise,3.7,21,Mysore Road,South Indian,300
As On Fire,3.5,41,South Bangalore,"Pizza, Fast Food, Bbq",400
J K Fish Land,3.6,35,Jayanagar,"Seafood, Mangalorean",300
Curry Leaves,4.1,176,Basavanagudi,"Andhra, North Indian, Chinese",800
Lassi Shop,3.5,45,Banashankari,"Beverages, Ice Cream, Fast Food",300
Magic Meals,3.7,47,Jayanagar,"Fast Food, Desserts, Beverages",400
Desi Cream Junction,3.7,36,Jayanagar,"Chinese, North Indian, Pizza, Italian",650
Drunken Monkey,3.8,52,Kumaraswamy Layout,"Beverages, Fast Food",400
Ruchi's Corner,2.7,123,Banashankari,Fast Food,200
Tandoori Bytes,3.6,59,Kumaraswamy Layout,North Indian,700
Bangalore Donne Biriyani,3.2,4,Kumaraswamy Layout,"South Indian, Biryani",300
SGS Non Veg - Gundu Pulav,3.8,101,Banashankari,"Biryani, Fast Food",400
Keventers,3.7,54,Banashankari,"Desserts, Beverages, Ice Cream",400
Navi Food Point,3.6,22,Basavanagudi,Fast Food,200
Shawarma Inc,3.1,31,Banashankari,"Rolls, Lebanese",250
The Cafe Nuts and Bolts,3.0,29,Kumaraswamy Layout,"Cafe, Fast Food, Chinese",500
AM WOW,3.4,6,Jayanagar,Beverages,100
Lalbagh Grand,3.0,22,Basavanagudi,"South Indian, North Indian, Chinese",250
Funjabi Curries,2.9,11,Banashankari,North Indian,500
Eat Repeat,3.9,101,Basavanagudi,South Indian,150
Salut,4.1,442,Jayanagar,"Continental, Finger Food, Seafood, Pizza",1200
Nammura Donne Biriyani,3.5,155,Basavanagudi,"Biryani, Fast Food",400
Lassi Stop,3.4,12,Banashankari,"Beverages, Fast Food, Juices",150
Dakshin Kitchen,3.6,15,Basavanagudi,South Indian,100
Sri Sai Cafe,3.5,10,Basavanagudi,South Indian,200
Sri Sai 99 Variety Dosa,3.8,25,Banashankari,South Indian,300
Utsav Restaurant,3.8,61,Banashankari,"North Indian, Chinese",300
Crunch and Munch,3.7,23,Uttarahalli,"Chinese, Street Food, Ice Cream",300
Food Geek,3.8,25,Basavanagudi,"Sandwich, Fast Food, Rolls",350
Sri Krishna Aramane,3.7,40,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Fast Food",200
Great Indian Rolls,3.3,4,Basavanagudi,Rolls,100
Chats Point,3.4,8,Basavanagudi,"Fast Food, Street Food",150
Food Point,3.5,32,Kumaraswamy Layout,"North Indian, Chinese",300
Swarga Ruchi,3.3,10,Basavanagudi,South Indian,200
Kolkata King,3.4,6,Basavanagudi,"Fast Food, Rolls",300
Sandwich Mama's And Frozen Monster,3.8,53,Jayanagar,"Ice Cream, Beverages, Fast Food",250
New Rajadhani Spicy,3.7,67,Kumaraswamy Layout,North Indian,700
Big Mishra Pedha,2.9,23,Jayanagar,Mithai,250
VEGeatz,3.4,19,Banashankari,"South Indian, North Indian",200
Foodizo,3.6,24,Banashankari,"Desserts, Fast Food, Continental",300
Food Springs,4.0,232,Jayanagar,"South Indian, Chinese",400
Chung's Chinese Corner,3.9,221,Jayanagar,Chinese,700
Eurasia Pasta and Barbeque by Little Italy,4.1,1063,Jayanagar,"Italian, Fast Food, Salad, Bbq",1200
Goli Vada Pav No. 1,3.7,93,Basavanagudi,Street Food,200
Ragoo's,3.9,233,Jayanagar,"Italian, Pizza, North Indian, Salad",800
Pure & Natural,3.9,211,Jayanagar,"Fast Food, Continental, Beverages, Salad, Healthy Food",500
Maiyas,4.0,1778,Jayanagar,"North Indian, South Indian, Fast Food, Juices",200
Sip n Dine,3.6,218,Vijay Nagar,"North Indian, Chinese, South Indian",800
Cafe Mondo,3.7,514,Basavanagudi,"Cafe, Italian, Beverages",600
Jalpaan,4.0,866,Jayanagar,"North Indian, Continental",900
Kataria's Pakwan,3.2,96,Kumaraswamy Layout,North Indian,400
Juicy Momos,3.5,80,Banashankari,"Tibetan, Momos",250
Amande Patisserie,4.0,73,Basavanagudi,"Bakery, French, Desserts",300
Anand Sweets and Savouries,3.9,84,Jayanagar,"Mithai, Street Food",400
Chicken Hunt,3.5,88,Banashankari,"South Indian, North Indian, Chinese, Biryani",350
Swadesh Tadka,3.5,179,Banashankari,"North Indian, Chinese, Beverages",600
Cane-O-La,3.8,61,Basavanagudi,Juices,100
New Biryani Mane,3.7,128,Uttarahalli,"North Indian, Chinese, Biryani, South Indian",450
Upahara Darshini,3.8,339,Jayanagar,"South Indian, North Indian, Chinese",400
Karnataka Bhel House,4.1,449,Basavanagudi,Street Food,100
Sreeraj Lassi Bar,4.1,210,Jayanagar,Beverages,150
Juice Junction Food Court,3.7,57,Basavanagudi,"Juices, South Indian, Chinese, Fast Food",200
Bunt's Biriyani Palace,3.0,213,Banashankari,"North Indian, South Indian, Chinese, Biryani, Seafood",400
Chai Point,3.2,208,Jayanagar,"Tea, Beverages, Fast Food",250
Janahaar,3.8,70,Banashankari,South Indian,100
Utsav,3.7,59,Banashankari,"North Indian, Street Food",200
Meat And Eat,3.1,10,Banashankari,"Fast Food, Burger",500
