SalesID,SalePrice
1227829,15905.518251916395
1227844,23139.862277403725
1227847,47769.685714923886
1227848,89190.52793544844
1227863,29003.499390772107
1227870,30823.73827647251
1227871,28650.285927492412
1227879,20696.632228125498
1227880,15372.917723781196
1227881,28037.838022355023
1227882,57846.51228538035
1227883,64961.24637429882
1227885,33908.09362874295
1227886,39906.90971725489
1227887,23882.629924376644
1227888,23882.629924376644
1227905,21216.545184153452
1227910,41295.87971705979
1227911,26954.569731831
1227912,40387.40969982857
1227913,21649.926979046195
1227914,44132.67481524058
1227917,29927.280540231797
1227918,36088.78591815532
1227920,41676.362978990895
1227924,27130.3845062273
1227925,21122.848918503252
1227930,12734.549073761087
1227933,64108.171828452665
1227942,19808.339933205043
1227949,30182.185103116055
1227972,17515.409835414423
1227976,40735.66927164689
1227977,58319.239252695086
1227979,49421.93114405186
1227980,10122.260956461429
1227988,18002.476151530776
1227990,11313.941675264796
1227991,14374.818577742706
1227992,18672.149506355843
1227994,34532.97238224681
1227997,14374.818577742706
1228007,51179.58363547084
1228012,67925.73288608849
1228019,23609.32934196658
1228031,23336.315639445624
1228040,58092.83466904736
1228042,20145.163470837433
1228046,10097.926608466527
1228049,59039.06042770679
1228050,38034.60151552971
1228056,26326.195898405847
1228061,31668.641362485756
1228065,8832.386649731145
1228069,16018.383920674916
1228071,79542.70100413128
1228072,79396.37655078326
1228075,29935.867752686092
1228076,30826.626310815565
1228089,65423.44114735449
1228104,35718.73949905718
1228105,58444.69865714141
1228107,28072.281991499265
1228113,58994.392747223814
1228117,48100.52337317208
1228119,50879.12630363613
1228122,37604.43147841482
1228123,80446.76952276856
1228124,15228.58530557603
1228129,60497.296118682294
1228130,55060.755193078396
1228131,56384.40331791541
1228134,60223.652753302005
1228135,65459.26043604658
1228136,33122.95556886677
1228142,16114.112631115522
1228145,53972.43876950842
1228149,25403.845728431417
1228150,23554.288488248996
1228152,43694.452965741846
1228153,15305.189202850279
1228155,45050.4571079175
1228156,42841.143465563364
1228157,46131.81312210553
1228158,52017.63121320854
1228160,23985.540849908783
1228161,19622.823178532937
1228168,12922.12705884542
1228179,20317.59607135968
1228182,20994.83630355956
1228183,26895.899670147082
1228188,74022.33800541871
1228192,20548.281345161395
1228195,26397.367473095575
1228197,28563.289904438014
1228198,17431.383409722606
1228200,58384.96841936175
1228203,19188.795146776058
1228214,33918.34098663206
1228217,17008.560636813458
1228219,65413.37153621752
1228222,22789.378479788942
1228225,15217.894649570972
1228228,22389.377680131838
1228229,16252.86459311717
1228231,13807.496823873105
1228236,14830.072828722165
1228237,45330.557010801065
1228238,23277.069234010618
1228244,29846.175667439427
1228245,27616.441329030185
1228247,13252.619053182043
1228248,15417.020886145905
1228253,14528.713147342174
1228254,58173.864252695086
1228256,31105.87298755439
1228265,27254.092851649588
1228270,50983.02862631259
1228277,25623.70361260056
1228287,128637.23857784591
1228288,51189.84440221797
1228289,17604.01803679828
1228290,18880.47539609682
1228291,21706.629185501108
1228292,42418.63150998198
1228293,24195.165617275547
1228305,44429.39723589789
1228314,44615.24604574671
1228315,59573.921273091364
1228320,38670.90352334213
1228326,25097.080647709627
1228328,55689.607366764416
1228329,36556.725978782226
1228330,32981.525177708965
1228332,44570.977460694034
1228333,28917.780940161352
1228345,20069.148233568147
1228351,20631.46211071772
1228352,20319.59079089818
1228353,15125.690762336697
1228354,43297.05772879897
1228356,39453.07003355935
1228357,11405.531253136995
1228359,60480.242772743404
1228360,71797.15863895953
1228361,52762.11321837388
1228362,39504.54834145079
1228364,53009.167329331955
1228365,41844.206560390776
1228367,52859.372007694525
1228368,53009.167329331955
1228369,11099.14459522003
1228371,27693.340704475162
1228374,15397.078701658778
1228375,9704.25473207026
1228376,31363.75695514561
1228380,15745.731520063815
1228381,40156.7974069514
1228384,64053.94266178599
1228385,64083.94266178599
1228386,20766.93500529924
1228387,58401.635086028415
1228389,20766.93500529924
1228391,20853.50775386898
1228394,20565.511611344376
1228395,20675.95331380451
1228400,50788.84739872528
1228401,18637.743150970742
1228402,35473.284410420914
1228403,42818.20484945274
1228404,76869.77936401246
1228406,64595.11590593315
1228411,21615.880605168888
1228415,61434.27381049618
1228416,51484.852896790944
1228421,23204.816684475853
1228422,53353.99011507274
1228424,24379.14550480546
1228426,57313.44599130521
